Dstat 0.7.2 CSV output,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,
19.144,10.327,69.521,0.252,0,0.756,0,20480,1424,1282
16.792,10.025,72.932,0,0,0.251,0,0,8228,6587
15.711,12.219,71.571,0,0,0.499,0,0,7544,6187
17.043,10.777,71.178,0,0,1.003,0,0,1350,1228
16.625,10.831,72.04,0,0,0.504,0,0,7514,6077
16.291,12.03,70.677,0.501,0,0.501,0,20480,8314,6957
18.987,9.873,70.886,0,0,0.253,0,0,1350,1228
17.043,10.526,72.18,0,0,0.251,0,0,8141,6880
16.291,11.028,72.18,0,0,0.501,0,0,7638,5773
18.939,11.364,69.192,0,0,0.505,0,0,2425,3065
17,10.5,72,0.25,0,0.25,0,73728,8842,7428
15.869,11.335,72.04,0,0,0.756,0,0,8559,7564
18.25,11.75,68.5,0,0,1.5,0,0,1500,1294
17.706,8.479,73.566,0,0,0.249,0,0,8340,6921
17.293,10.777,71.178,0,0,0.752,0,0,7751,6280
20.802,8.772,68.922,0.501,0,1.003,0,45056,1500,1428
17.043,9.273,73.183,0,0,0.501,0,0,8354,6941
16.834,11.307,71.608,0,0,0.251,0,0,7472,6141
18.045,11.028,70.426,0,0,0.501,0,0,1652,1468
17.38,9.32,73.048,0,0,0.252,0,0,8322,6645
17.5,11.25,70.5,0,0,0.75,0,28672,8215,6870
16.75,11.25,71.75,0,0,0.25,0,0,7730,5915
18,11.75,69,0,0,1.25,0,0,1350,1228
17.544,8.521,73.684,0,0,0.251,0,0,8254,6909
18.593,8.794,72.362,0,0,0.251,0,0,7517,5620
17.544,11.779,69.424,0.251,0,1.003,0,20480,1350,1228
17.043,10.276,72.682,0,0,0,0,0,8122,6513
16.834,11.307,71.357,0,0,0.503,0,0,7564,5865
16.834,11.055,71.608,0,0,0.503,0,0,7866,6518
19.652,9.204,70.647,0,0,0.498,0,0,1350,1240
17.662,10.697,70.896,0.498,0,0.249,0,20480,7783,6696
18.75,9.75,71.25,0,0,0.25,0,0,7462,5926
16.5,11,72.25,0,0,0.25,0,0,8182,6789
19.701,10.474,68.828,0,0,0.998,0,0,1350,1228
16.792,8.271,74.687,0,0,0.251,0,0,8213,6900
15.365,12.594,71.537,0,0,0.504,0,20480,7670,6021
15.92,13.184,70.398,0,0,0.498,0,0,1350,1228
17.588,9.799,72.111,0,0,0.503,0,0,8098,6653
15.327,11.809,72.613,0,0,0.251,0,0,7562,6103
18.25,10,71.5,0,0,0.25,0,0,1350,1228
17.25,8,74.5,0,0,0.25,0,20480,7960,6559
14.824,12.06,72.362,0,0,0.754,0,0,7334,5581
20.603,9.296,70.101,0,0,0,0,0,1350,1228
17.043,10.526,72.431,0,0,0,0,0,8972,8516
16.5,10.5,72.25,0,0,0.75,0,0,8023,7198
18.546,9.023,70.927,0.501,0,1.003,0,57344,1558,1336
17.632,9.068,73.048,0,0,0.252,0,0,8080,6833
16.583,11.055,71.859,0,0,0.503,0,0,7504,5603
18.342,10.05,71.357,0,0,0.251,0,0,1424,1416
17.955,9.975,71.82,0,0,0.249,0,0,8308,6567
16.121,11.587,71.537,0.504,0,0.252,0,49152,8153,6200
16.915,12.189,69.9,0,0,0.995,0,0,1350,1228
18.045,9.273,72.682,0,0,0,0,0,7850,6617
17.085,10.804,71.859,0,0,0.251,0,0,7239,5879
19.451,9.476,70.075,0,0,0.998,0,0,1350,1228
16.877,10.579,72.292,0.252,0,0,0,28672,7813,6708
17.5,11,71.25,0,0,0.25,0,0,7296,5875
17.706,11.222,70.324,0,0,0.748,0,0,1276,1162
18.939,8.081,72.98,0,0,0,0,0,8002,6777
16.5,11.75,70.75,0,0,1,0,0,7377,5856
18.114,11.414,69.727,0.496,0,0.248,0,20480,8089,6752
19.298,9.774,70.175,0,0,0.752,0,0,1548,1330
16.08,9.799,73.869,0,0,0.251,0,0,8072,6973
18.25,9.75,71.25,0,0,0.75,0,0,7443,5658
17.75,11.5,70.5,0,0,0.25,0,0,1350,1228
18.388,9.068,72.292,0,0,0.252,0,20480,7749,6936
17.043,11.028,71.429,0,0,0.501,0,0,7167,5768
18,11.75,69.75,0,0,0.5,0,0,1308,1228
18.045,9.273,72.682,0,0,0,0,0,8224,6823
16.792,11.529,71.178,0,0,0.501,0,0,7390,5806
20.101,8.04,70.854,0,0,1.005,0,20480,1498,1336
18.342,9.045,72.362,0,0,0.251,0,0,7976,6763
15.075,12.563,72.111,0,0,0.251,0,0,7623,5994
18.342,10.553,70.101,0,0,1.005,0,0,1350,1228
17.839,9.045,72.362,0,0,0.754,0,0,7585,6570
15.443,13.165,69.873,1.013,0,0.506,0,20480,7582,5959
18.454,10.224,70.324,0,0,0.998,0,16384,1424,1302
17.75,8.25,73.75,0,0,0.25,0,0,7949,8044
16.332,11.307,71.859,0,0,0.503,0,0,8289,6738
19.549,10.025,69.424,0,0,1.003,0,0,1350,2696
17,10.75,71.5,0.5,0,0.25,0,32768,8871,8302
17.975,11.139,70.38,0,0,0.506,0,36864,7402,5649
17.043,10.526,71.93,0,0,0.501,0,0,7988,6644
18.066,10.178,71.501,0,0,0.254,0,0,1470,1294
17.706,8.479,73.317,0,0,0.499,0,0,7882,6169
18.703,9.476,70.574,0.998,0,0.249,0,24576,1350,1228
17.25,9,73.5,0,0,0.25,0,0,7761,6545
15.96,11.721,71.82,0,0,0.499,0,0,7472,5823
18.296,12.531,68.922,0,0,0.251,0,0,1498,1336
17.085,8.04,74.874,0,0,0,0,0,7929,6368
15.711,12.219,70.075,1.496,0,0.499,0,20480,7720,5951
16.5,11.5,71.25,0,0,0.75,0,0,1350,1228
16.834,9.296,73.367,0,0,0.503,0,0,7603,5690
15.829,11.809,72.111,0,0,0.251,0,0,7781,6716
18.797,10.777,69.674,0,0,0.752,0,0,1548,1330
17.706,8.479,73.317,0,0,0.499,0,20480,8228,6953
16.373,10.831,72.544,0,0,0.252,0,0,7381,5974
17.043,9.023,73.684,0,0,0.251,0,0,1350,1228
17.794,11.028,70.677,0,0,0.501,0,0,7462,5687
17.293,10.276,71.93,0,0,0.501,0,0,7814,6759
17.884,11.335,70.025,0.756,0,0,0,20480,1564,1336
18.953,9.975,70.823,0,0,0.249,0,0,7169,5760
16.958,11.222,71.322,0,0,0.499,0,0,8172,6795
17.884,10.831,70.277,0,0,1.008,0,0,1350,1228
16.04,10.526,73.183,0,0,0.251,0,0,7447,6010
16.5,11,71,0.75,0,0.75,0,20480,8118,7035
17.241,13.3,68.473,0,0,0.985,0,12288,1350,1228
17.588,9.548,72.613,0,0,0.251,0,0,7753,6648
16.373,11.839,70.781,0,0,1.008,0,0,7645,6100
17.337,10.804,71.106,0,0,0.754,0,0,8916,8977
18.657,10.199,69.403,0.746,0,0.995,0,32768,2388,2720
17.456,9.726,72.818,0,0,0,0,8192,7541,5872
17.25,10.5,72,0,0,0.25,0,0,1500,1440
16.04,10.526,72.932,0,0,0.501,0,0,7682,6425
17.38,10.831,71.285,0,0,0.504,0,0,7698,6091
16.25,11.75,71.25,0,0,0.75,0,36864,7934,6585
18.75,10.5,70,0,0,0.75,0,28672,1416,1362
18.342,9.799,71.608,0,0,0.251,0,0,8104,6615
16.792,10.777,72.18,0,0,0.251,0,0,7491,5654
17.929,11.111,70.202,0,0,0.758,0,0,1424,1282
18,8.75,73,0,0,0.25,0,28672,7775,6450
15.539,12.531,71.429,0,0,0.501,0,0,7534,5949
18.228,10.886,70.127,0,0,0.759,0,0,1350,1228
18.045,8.02,73.684,0,0,0.251,0,0,7853,6704
16.792,11.779,70.927,0,0,0.501,0,0,7503,6006
18.388,10.579,70.277,0.252,0,0.504,0,20480,1392,1270
17.5,9.75,72.25,0,0,0.5,0,0,8212,6936
16.541,12.281,70.927,0,0,0.251,0,0,7330,5601
16.583,10.302,72.613,0,0,0.503,0,0,8043,6466
18.09,11.558,69.598,0,0,0.754,0,0,1424,1282
16.962,9.114,73.165,0.253,0,0.506,0,20480,8115,6942
17.293,10.025,72.18,0,0,0.501,0,0,7544,5679
18.546,12.03,69.173,0,0,0.251,0,0,1350,1228
18.434,8.586,72.727,0,0,0.253,0,0,7967,6570
18.657,10.448,70.398,0,0,0.498,0,0,7287,5978
17.25,10.25,71.25,0.75,0,0.5,0,20480,8122,6813
14.824,13.819,70.854,0,0,0.503,0,0,1350,1228
18.454,9.726,71.571,0,0,0.249,0,0,7529,5992
15.829,12.312,71.106,0,0,0.754,0,0,8222,6691
19.444,9.848,70.202,0,0,0.505,0,0,1424,1282
15.789,10.025,72.682,1.253,0,0.251,0,20480,7697,6104
17.513,10.406,71.827,0,0,0.254,0,12288,8354,8601
18.09,10.05,70.854,0,0,1.005,0,0,2866,2770
18.953,9.476,71.322,0,0,0.249,0,0,8204,6951
14.646,13.131,71.717,0,0,0.505,0,0,7167,5494
18.136,10.327,70.529,0.252,0,0.756,0,36864,1308,1362
18.5,10.5,70.75,0,0,0.25,0,8192,7744,6199
18.045,9.774,71.679,0,0,0.501,0,0,1500,1428
16.373,11.587,71.788,0,0,0.252,0,0,7935,6582
17.38,11.335,70.529,0,0,0.756,0,0,7391,6124
17.38,10.831,69.773,1.763,0,0.252,0,28672,8275,6872
18.25,10,71.25,0,0,0.5,0,24576,1392,1270
16.834,10.553,72.111,0,0,0.503,0,0,7618,5641
16.792,11.529,70.927,0,0,0.752,0,0,1350,1228
16.25,11.75,71.25,0,0,0.75,0,0,8162,6857
17.794,11.028,70.927,0,0,0.251,0,20480,7866,6319
18.5,10,71,0,0,0.5,0,0,1308,1228
18.844,8.543,72.362,0,0,0.251,0,0,7746,6603
17.043,11.779,70.677,0,0,0.501,0,0,7469,5648
18.953,9.975,70.574,0,0,0.499,0,0,1424,1282
17.632,9.32,72.04,0.756,0,0.252,0,20480,7957,6584
16.459,12.219,70.574,0,0,0.748,0,0,7670,6021
18.75,10.25,70.5,0,0,0.5,0,0,1350,1228
17.456,7.98,74.065,0,0,0.499,0,0,7795,6394
15.539,12.03,72.18,0,0,0.251,0,0,7782,6185
17.884,11.335,69.521,0.252,0,1.008,0,20480,1350,1228
18.25,9.25,72,0,0,0.5,0,0,7879,6792
15.949,10.886,72.658,0,0,0.506,0,0,7311,5526
18.64,9.32,71.285,0,0,0.756,0,0,1424,1282
17.25,7.75,75,0,0,0,0,0,5434,6912
3.275,3.275,93.199,0.252,0,0,0,24576,9630,11352
0.748,0.499,98.753,0,0,0,0,0,5719,5925
1.003,0.251,98.747,0,0,0,0,0,6859,8161
